,CIN2,Cln3,dep1,ESC2,GAS1,Gim3,HOC1,KRE1,LGE1,MRC1,MT1450,MT2481,MT2544,NOP13,NOP16,NUM1,Pac10,SAP30,SAP30-SC,smi1,Tep1,whi3,whi5,WT,WT-20uM,WT-20uM-SC,ynl224c
LOPAC 00052,-0.053253,2.95281,0.376693,0.0089559,-0.489724,0.0816275,1.08577,0.238737,0.166221,-0.0908594,-0.205767,-1.53643,0.0690623,0.106316,-0.782066,-1.01953,0.82406,0.0568046,0.130661,-0.102945,-0.15359,0.111696,0.00898226,-0.158199,0.213846,0.134817,-0.00448934
LOPAC 00053,0.756818,2.25086,-0.364529,-0.942074,-0.0936678,-0.578232,-0.48181,-0.353539,-0.133757,0.471395,-0.169858,0.319723,0.625471,-0.046679,0.267311,0.931724,0.170927,-0.662367,-1.2148,-0.350778,0.0688453,0.00844692,0.325349,0.224716,-0.116461,-0.475658,0.0109346
LOPAC 00054,-0.0471527,0.747313,0.397091,-0.383889,0.836498,0.237535,0.148065,-0.230233,-0.474566,-0.232567,0.282073,0.269216,0.141396,-0.645014,-0.422542,-0.455975,0.391076,-0.3239,-0.297845,0.257388,0.060857,0.48427,-0.135894,0.332211,-0.141764,-0.393234,-1.02425
LOPAC 00055,-0.484472,-0.0779854,0.293548,0.835368,-0.124216,0.437685,0.475591,0.242715,0.444369,-0.0918886,0.0349951,-0.415939,0.745282,0.67498,0.24573,-0.438696,0.2526,0.0433515,-0.486126,0.408386,-0.56021,-0.0367953,0.197339,-0.480148,-0.00689853,-0.358111,0.417238
LOPAC 00056,0.411008,0.321622,0.286392,0.234282,-0.19256,0.323209,0.357403,0.520597,0.457432,0.501484,-0.212932,0.491354,0.776251,0.449725,-0.147743,0.308216,0.23073,0.730803,0.0710218,0.629963,-0.714344,0.418626,-0.214098,-0.239965,0.320305,0.57938,0.167525
LOPAC 00057,-0.0346725,0.748313,0.218684,1.36574,0.0258271,-0.298867,-0.174282,0.688626,0.141735,0.332599,0.1559,-0.36855,-0.0210135,-0.176931,0.150581,-0.369553,0.393834,0.088079,0.901385,1.12791,0.385281,0.0530013,-0.0297646,-0.0213879,0.760334,0.159936,0.127269
LOPAC 00058,-0.214314,-0.215304,-0.314454,0.140023,-0.505355,0.438257,-0.0824834,0.518825,-0.254513,0.203148,-0.392973,0.367177,0.48381,1.86089,0.630385,-0.0780417,0.0837532,0.207644,0.123555,-0.810577,0.187131,0.0920223,-0.480625,-0.0897862,0.22414,-0.481223,-0.181843
LOPAC 00059,-0.211609,1.89374,-0.175497,-0.492758,0.485417,-0.172521,0.17826,0.532618,0.0752328,-0.481414,0.459688,-0.335443,1.12491,-0.755843,-2.41024,0.911034,-1.0194,-0.840094,0.495987,0.236175,-1.35551,-0.943288,-0.391341,-0.683094,-0.165027,-0.0699998,-0.640104
LOPAC 00060,0.899434,-0.228857,-0.887505,-1.29649,-5.05642,0.303564,-0.0800905,-0.325319,-0.886264,0.554758,0.681329,-0.264449,0.716333,-0.75647,-0.141987,1.00049,-1.0706,-0.661492,-0.92575,-0.303212,0.0280474,-0.262665,-0.612624,-0.203674,0.391505,-0.983879,0.229655
LOPAC 00061,0.182194,1.69417,-0.753011,0.514601,0.0881956,0.766313,-0.144224,-0.49427,0.200827,-0.0947049,-1.30534,0.412763,-0.0217928,0.327029,0.211015,-0.0779565,0.0459029,0.292825,0.33983,-0.156075,0.698862,0.525215,0.478457,-0.0274371,0.00846163,0.908066,0.368885
LOPAC 00062,0.11013,-0.704482,0.719303,-1.35421,-0.129377,-1.03453,-0.308288,0.272067,0.146664,-0.0486455,0.553277,-0.313513,0.229415,-0.421244,0.71773,-0.392695,-0.198868,-0.159927,0.542157,0.0582704,-0.450163,-0.35747,-0.0928081,0.137904,-0.897229,-0.769955,0.205063
LOPAC 00063,-0.0987875,-1.16973,1.30694,-2.74954,0.975002,-0.926234,0.400115,1.05489,2.04283,-0.0535686,-0.0771925,-0.335225,-0.290048,-0.945833,-1.09252,-0.453162,-0.962337,0.692344,-0.0648174,0.506958,-0.49403,-1.37093,-1.16751,-0.560487,0.222425,-0.778806,-1.02053
LOPAC 00064,-0.0252285,-1.2423,-0.0534271,1.0332,-0.369817,0.120402,0.654342,0.12831,-0.109755,-0.115509,-0.273901,-0.69925,-0.263079,-1.34207,-1.2307,-0.170929,-0.852429,-0.153844,-0.822581,0.101638,-0.902655,-0.953077,-0.171821,-0.938501,-0.0434093,0.513403,-1.35407
LOPAC 00065,0.336037,-0.876055,0.111286,1.01528,0.454099,-0.404832,1.84405,-1.46074,1.87716,-1.08641,-2.63543,-1.35449,0.137866,-1.03114,-2.67432,-0.0314789,-1.27923,-0.406737,-2.26492,0.953216,-0.234888,-2.5253,-0.622146,-1.77437,-2.0004,0.479776,-0.60807
LOPAC 00066,0.519488,2.07642,0.563209,-0.00678447,0.481112,0.854182,0.149891,-0.0529334,0.754301,-0.0839273,0.724759,0.235118,-0.331542,0.781898,0.989346,-0.0316738,1.08949,0.309499,-0.166521,0.141397,-0.519292,0.172706,-0.00526585,-0.102013,0.907309,0.306323,0.316278
LOPAC 00067,-0.249655,-0.572327,0.39598,-0.902722,-0.827782,2.29863,-1.89934,-0.170128,-0.120341,-0.475773,1.90862,-0.170892,0.519771,-0.153526,-0.545332,-0.503613,-0.218341,-1.61694,-0.757789,0.310824,-0.541745,-0.874272,-0.00159896,0.0406239,-1.32712,-1.08586,0.216067
LOPAC 00068,-0.200742,0.0911744,-0.614371,0.30724,-0.0819137,2.21785,0.380705,-0.0929232,0.0731317,0.0938049,0.749696,0.318434,-0.0500295,0.120395,-0.314471,0.482144,0.243506,0.00659856,-0.835153,0.439472,0.649151,0.538234,0.193683,0.0227252,0.0519227,1.08023,0.63165
LOPAC 00069,-0.361075,-0.616149,0.642326,-0.390926,-0.271366,1.45979,-0.199706,0.0193093,-0.130475,-0.152686,-1.92614,-0.448087,-0.286065,0.717684,0.203259,-0.576737,-0.122014,-0.50397,-0.0944838,-0.0074876,-0.308668,-0.120748,-0.227487,0.13228,-0.808526,-0.511379,-0.0845828
LOPAC 00070,-0.823143,-0.73166,-0.94751,-1.11815,-0.857275,-0.749299,-0.812004,-0.970627,-0.628448,-0.780244,0.527604,-0.378975,-0.821635,1.03084,1.22236,-0.134748,-1.35307,-0.212034,-0.398518,-0.544216,-0.556548,0.0438804,-1.92442,0.0116719,-0.507757,-1.11861,-0.392954
LOPAC 00071,0.566886,-0.136061,0.31495,0.0888391,1.25458,0.735729,0.284043,0.448537,0.0231979,0.308436,-0.301779,-0.23167,-0.816894,0.364057,-0.83422,0.394977,0.422257,-0.911611,-0.077974,0.261293,-0.494015,-0.0936793,0.210546,-0.562275,-0.0572903,0.193364,-0.0248214
